fragment,text,statements,llm_used
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:volkovskite rdfs:subClassOf :mineral .

",Volkovskite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:voloshinite rdfs:subClassOf :mineral .

",Voloshinite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:voltaite rdfs:subClassOf :mineral .

",Voltaite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:volynskite rdfs:subClassOf :mineral .

",Volynskite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vonbezingite rdfs:subClassOf :mineral .

",Vonbezingite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vonsenite rdfs:subClassOf :mineral .

",Vonsenite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:voronkovite rdfs:subClassOf :mineral .

",Voronkovite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vozhminite rdfs:subClassOf :mineral .

",Vozhminite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vrbaite rdfs:subClassOf :mineral .

",Vrbaite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vuagnatite rdfs:subClassOf :mineral .

",Vuagnatite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vulcanite rdfs:subClassOf :mineral .

",Vulcanite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vuonnemite rdfs:subClassOf :mineral .

",Vuonnemite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vuorelainenite rdfs:subClassOf :mineral .

",Vuorelainenite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vuoriyarvite rdfs:subClassOf :mineral .

",Vuoriyarvite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vuoriyarvite_k rdfs:subClassOf :mineral .

",Vuoriyarvite-K is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vurroite rdfs:subClassOf :mineral .

",Vurroite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vyacheslavite rdfs:subClassOf :mineral .

",Vyacheslavite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vyalsovite rdfs:subClassOf :mineral .

",Vyalsovite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vysotskite rdfs:subClassOf :mineral .

",Vysotskite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vyuntspakhkite__y_ rdfs:subClassOf :mineral .

",Vyuntspakhkite (Y) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wadalite rdfs:subClassOf :mineral .

",Wadalite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wadeite rdfs:subClassOf :mineral .

",Wadeite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wadsleyite rdfs:subClassOf :mineral .

",Wadsleyite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wagnerite rdfs:subClassOf :mineral .

",Wagnerite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wairakite rdfs:subClassOf :mineral .

",Wairakite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wairauite rdfs:subClassOf :mineral .

",Wairauite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wakabayashilite rdfs:subClassOf :mineral .

",Wakabayashilite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wakefieldite__ce_ rdfs:subClassOf :mineral .

",Wakefieldite (Ce) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wakefieldite__la_ rdfs:subClassOf :mineral .

",Wakefieldite (La) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wakefieldite__nd_ rdfs:subClassOf :mineral .

",Wakefieldite (Nd) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wakefieldite__y_ rdfs:subClassOf :mineral .

",Wakefieldite (Y) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:walentaite rdfs:subClassOf :mineral .

",Walentaite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:walfordite rdfs:subClassOf :mineral .

",Walfordite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:walkerite rdfs:subClassOf :mineral .

",Walkerite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wallisite rdfs:subClassOf :mineral .

",Wallisite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wallkilldellite rdfs:subClassOf :mineral .

",Wallkilldellite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wallkilldellite__fe_ rdfs:subClassOf :mineral .

",Wallkilldellite (Fe) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:walpurgite rdfs:subClassOf :mineral .

",Walpurgite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:walstromite rdfs:subClassOf :mineral .

",Walstromite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:walthierite rdfs:subClassOf :mineral .

",Walthierite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wapplerite rdfs:subClassOf :mineral .

",Wapplerite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wardite rdfs:subClassOf :mineral .

",Wardite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wardsmithite rdfs:subClassOf :mineral .

",Wardsmithite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:warikahnite rdfs:subClassOf :mineral .

",Warikahnite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:warwickite rdfs:subClassOf :mineral .

",Warwickite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:watanabeite rdfs:subClassOf :mineral .

",Watanabeite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:watatsumiite rdfs:subClassOf :mineral .

",Watatsumiite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:waterhouseite rdfs:subClassOf :mineral .

",Waterhouseite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:watkinsonite rdfs:subClassOf :mineral .

",Watkinsonite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wattersite rdfs:subClassOf :mineral .

",Wattersite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wattevilleite rdfs:subClassOf :mineral .

",Wattevilleite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wattevillite rdfs:subClassOf :mineral .

",Wattevillite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wavellite rdfs:subClassOf :mineral .

",Wavellite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wawayandaite rdfs:subClassOf :mineral .

",Wawayandaite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:waylandite rdfs:subClassOf :mineral .

",Waylandite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weberite rdfs:subClassOf :mineral .

",Weberite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:websterite rdfs:subClassOf :mineral .

",Websterite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weddellite rdfs:subClassOf :mineral .

",Weddellite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weeksite rdfs:subClassOf :mineral .

",Weeksite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wegscheiderite rdfs:subClassOf :mineral .

",Wegscheiderite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weibullite rdfs:subClassOf :mineral .

",Weibullite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weilerite rdfs:subClassOf :mineral .

",Weilerite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weilite rdfs:subClassOf :mineral .

",Weilite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weinebeneite rdfs:subClassOf :mineral .

",Weinebeneite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weinschenkite rdfs:subClassOf :mineral .

",Weinschenkite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weishanite rdfs:subClassOf :mineral .

",Weishanite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weissbergite rdfs:subClassOf :mineral .

",Weissbergite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weissite rdfs:subClassOf :mineral .

",Weissite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:welinite_iii rdfs:subClassOf :mineral .

",Welinite-III is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:welinite_viii rdfs:subClassOf :mineral .

",Welinite-VIII is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wellsite rdfs:subClassOf :mineral .

",Wellsite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:weloganite rdfs:subClassOf :mineral .

",Weloganite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:welshite rdfs:subClassOf :mineral .

",Welshite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wendwilsonite rdfs:subClassOf :mineral .

",Wendwilsonite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wenkite rdfs:subClassOf :mineral .

",Wenkite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:werdingite rdfs:subClassOf :mineral .

",Werdingite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wermlandite rdfs:subClassOf :mineral .

",Wermlandite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wernerite rdfs:subClassOf :mineral .

",Wernerite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wesselsite rdfs:subClassOf :mineral .

",Wesselsite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:westerveldite rdfs:subClassOf :mineral .

",Westerveldite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:westgrenite rdfs:subClassOf :mineral .

",Westgrenite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wheatleyite rdfs:subClassOf :mineral .

",Wheatleyite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wheel_ore rdfs:subClassOf :mineral .

",Wheel Ore is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wherryite rdfs:subClassOf :mineral .

",Wherryite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:whewellite rdfs:subClassOf :mineral .

",Whewellite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:white_lead_ore rdfs:subClassOf :mineral .

",White Lead Ore is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:whiteite__cafemg_ rdfs:subClassOf :mineral .

",Whiteite (CaFeMg) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:whiteite__camnmg_ rdfs:subClassOf :mineral .

",Whiteite (CaMnMg) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:whiteite__mnfemg_ rdfs:subClassOf :mineral .

",Whiteite (MnFeMg) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:whitlockite rdfs:subClassOf :mineral .

",Whitlockite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:whitmoreite rdfs:subClassOf :mineral .

",Whitmoreite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:whitneyite rdfs:subClassOf :mineral .

",Whitneyite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wickenburgite rdfs:subClassOf :mineral .

",Wickenburgite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wickmanite rdfs:subClassOf :mineral .

",Wickmanite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wicksite rdfs:subClassOf :mineral .

",Wicksite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:widenmannite rdfs:subClassOf :mineral .

",Widenmannite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:widgiemoolthalite rdfs:subClassOf :mineral .

",Widgiemoolthalite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wightmanite rdfs:subClassOf :mineral .

",Wightmanite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wilcoxite rdfs:subClassOf :mineral .

",Wilcoxite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wilhelmkleinite rdfs:subClassOf :mineral .

",Wilhelmkleinite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wilhelmramsayite rdfs:subClassOf :mineral .

",Wilhelmramsayite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wilhelmvierlingite rdfs:subClassOf :mineral .

",Wilhelmvierlingite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wilkeite rdfs:subClassOf :mineral .

",Wilkeite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wilkinsonite rdfs:subClassOf :mineral .

",Wilkinsonite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wilkmanite rdfs:subClassOf :mineral .

",Wilkmanite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:willemite rdfs:subClassOf :mineral .

",Willemite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:willemseite rdfs:subClassOf :mineral .

",Willemseite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:willhendersonite rdfs:subClassOf :mineral .

",Willhendersonite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:williamsite rdfs:subClassOf :mineral .

",Williamsite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:willyamite rdfs:subClassOf :mineral .

",Willyamite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wiltshireite rdfs:subClassOf :mineral .

",Wiltshireite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wiluite rdfs:subClassOf :mineral .

",Wiluite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:winchite rdfs:subClassOf :mineral .

",Winchite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:winebergite rdfs:subClassOf :mineral .

",Winebergite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:winstanleyite rdfs:subClassOf :mineral .

",Winstanleyite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wiserite rdfs:subClassOf :mineral .

",Wiserite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:witherite rdfs:subClassOf :mineral .

",Witherite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wittichenite rdfs:subClassOf :mineral .

",Wittichenite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wittite rdfs:subClassOf :mineral .

",Wittite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wodginite rdfs:subClassOf :mineral .

",Wodginite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:woehlerite rdfs:subClassOf :mineral .

",Woehlerite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:woelsendorfite rdfs:subClassOf :mineral .

",Woelsendorfite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wohlerite rdfs:subClassOf :mineral .

",Wohlerite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wolchonskoite rdfs:subClassOf :mineral .

",Wolchonskoite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wolfeite rdfs:subClassOf :mineral .

",Wolfeite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wolframite rdfs:subClassOf :mineral .

",Wolframite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wolframoixiolite rdfs:subClassOf :mineral .

",Wolframoixiolite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wolfsbergite rdfs:subClassOf :mineral .

",Wolfsbergite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wollastonite_1a rdfs:subClassOf :mineral .

",Wollastonite-1A is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wollastonite_2m rdfs:subClassOf :mineral .

",Wollastonite-2M is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wollastonite_3a_4a_5a_7a rdfs:subClassOf :mineral .

",Wollastonite-3A-4A-5A-7A is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wolnyn rdfs:subClassOf :mineral .

",Wolnyn is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wolsendorfite rdfs:subClassOf :mineral .

",Wolsendorfite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wonesite rdfs:subClassOf :mineral .

",Wonesite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:woodallite rdfs:subClassOf :mineral .

",Woodallite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:woodhouseite rdfs:subClassOf :mineral .

",Woodhouseite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:woodruffite rdfs:subClassOf :mineral .

",Woodruffite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:woodwardite rdfs:subClassOf :mineral .

",Woodwardite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wooldridgeite rdfs:subClassOf :mineral .

",Wooldridgeite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:woolridgeite rdfs:subClassOf :mineral .

",Woolridgeite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wroewolfeite rdfs:subClassOf :mineral .

",Wroewolfeite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wuelfingite rdfs:subClassOf :mineral .

",Wuelfingite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wuestite rdfs:subClassOf :mineral .

",Wuestite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wulfenite rdfs:subClassOf :mineral .

",Wulfenite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wulfingite rdfs:subClassOf :mineral .

",Wulfingite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wupatkiite rdfs:subClassOf :mineral .

",Wupatkiite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wurtzite rdfs:subClassOf :mineral .

",Wurtzite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wustite rdfs:subClassOf :mineral .

",Wustite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wyartite rdfs:subClassOf :mineral .

",Wyartite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wycheproofite rdfs:subClassOf :mineral .

",Wycheproofite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wyllieite rdfs:subClassOf :mineral .

",Wyllieite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xanthiosite rdfs:subClassOf :mineral .

",Xanthiosite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xanthoconite rdfs:subClassOf :mineral .

",Xanthoconite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xanthophyllite rdfs:subClassOf :mineral .

",Xanthophyllite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xanthoxenite rdfs:subClassOf :mineral .

",Xanthoxenite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xenophyllite rdfs:subClassOf :mineral .

",Xenophyllite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xenotime__y_ rdfs:subClassOf :mineral .

",Xenotime (Y) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xenotime__yb_ rdfs:subClassOf :mineral .

",Xenotime (Yb) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xiangjiangite rdfs:subClassOf :mineral .

",Xiangjiangite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xieite rdfs:subClassOf :mineral .

",Xieite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xifengite rdfs:subClassOf :mineral .

",Xifengite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xilingolite rdfs:subClassOf :mineral .

",Xilingolite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ximengite rdfs:subClassOf :mineral .

",Ximengite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xingzhongite rdfs:subClassOf :mineral .

",Xingzhongite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xitieshanite rdfs:subClassOf :mineral .

",Xitieshanite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xocolatlite rdfs:subClassOf :mineral .

",Xocolatlite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xocomecatlite rdfs:subClassOf :mineral .

",Xocomecatlite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xonotlite rdfs:subClassOf :mineral .

",Xonotlite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:xyloretinite rdfs:subClassOf :mineral .

",Xyloretinite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yafsoanite rdfs:subClassOf :mineral .

",Yafsoanite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yagiite rdfs:subClassOf :mineral .

",Yagiite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yakhontovite rdfs:subClassOf :mineral .

",Yakhontovite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yakovenchukite__y_ rdfs:subClassOf :mineral .

",Yakovenchukite (Y) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yamatoite rdfs:subClassOf :mineral .

",Yamatoite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yanomamite rdfs:subClassOf :mineral .

",Yanomamite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yarlongite rdfs:subClassOf :mineral .

",Yarlongite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yaroslavite rdfs:subClassOf :mineral .

",Yaroslavite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yarrowite rdfs:subClassOf :mineral .

",Yarrowite is a type of mineral.,1,False
